"Año","NOM_MUN","CVEGEO_LOC","NOMGEO_LOC","Localidad","Fuente.de.Abastecimiento","Coliformes.Totales..Ausencia.o.Presencia.100mL","E..Coli.Ausencia.o.Presencia.100mL","Arsenico.mg.L","Bario.mg.L","Cadmio..mg.L","Cobre.mg.L","Hierro..mg.L","Manganeso.mg.L","Plomo.mg.L","Zinc.mg.L","Cianuros..mg.L","Cloro.residual..mg.L","Cloruros..mg.L","Dureza.Total.mg.L","Fluoruros..mg.L","Nitratos.mg.L","Nitritos..mg.L","pH","SDT.mg.L","Sulfatos..mg.L","Cloro.Total..mg.L","Conductividad..µS.cm","Temperatura...C"
2012,"Atlapexco",NA,NA,"El Panteon","Tanque El Panteón","Presencia","Presencia","0.0","ND","ND","0.469","0.119","ND","0.0",0.003,"0.005","0.03","46.75","331.1078","0.1","0.3","0.005","7.69","194.4","2.5","0.06","560.0","27.6"
2012,"Atlapexco",NA,NA,"La Pena","Manantial La Peña","Presencia","Presencia","0.0","ND","ND","0.429","0.079","ND","0.0",0.035,"0.003","0.0","57.5","306.6636","0.1","0.9","0.0105","7.2","263.0","25.0","0.0","519.0","26.2"
2012,"Atotonilco el Grande",NA,NA,"Los Tapancos","Manantial","Presencia","Presencia","0.0","0.0","ND","0.0","0.0","0.0","0.0",0.018,"0.0","0.0","55.25","104.4434","0.1","0.0","0.0","6.5","95.1","30.0","0.0","198.7","18.9"
2012,"Calnali",NA,NA,"Barrio Nuevo","Manantial Barrio Nuevo","Presencia","Ausencia","0.0","ND","ND","0.0","0.065","ND","0.019",0.033,"0.005","0.02","53.75","99.999","0.01","3.5","0.0119","6.26","33.0","5.0","0.04","40.9","26.4"
2012,"Calnali",NA,NA,"Barrio San Juan Mezcalpa","Manantial Mezcalpa","Presencia","Presencia","0.001","ND","ND","0.491","0.018","ND","0.018",0.098,"0.005","0.06","49.5","39.9996","0.05","0.4","0.0022","6.43","19.7","0.8","0.05","40.9","23.3"
2012,"Chilcuautla","1301900300014800","El Sabino","El Sabino","Pozo El Sabino","Presencia","Ausencia","0.0","ND","ND","9.0E-4","0.0","ND","0.0",0.023,"0.0","0.04","167.5","466.662","0.38","0.9","0.0","7.84","810.0","145.0","0.05","1198.0","26.5"
2012,"El Arenal","1300900030018800","Chimilpa","Chimalpa","Pozo Bocja Chimalpa","Presencia","Ausencia","0.001","ND","ND","0.595","0.024","0.2","0.0",0.011,"0.003","0.0","411.5","444.44","0.2","0.8","0.0","7.68","85.3","310.0","0.02","1083.0","27.1"
2012,"El Arenal",NA,NA,"Colonia 20 De Mayo","Pozo Solidaridad","Presencia","Ausencia","0.0","ND","ND","0.691","0.059","0.2","0.0",0.02,"0.01","0.03","193.5","317.7746","0.0","0.5","0.0026","6.98","517.0","125.0","0.03","1021.0","26.8"
2012,"Jacala de Ledezma","1303100460042800","Puerto de la Zorra","Puerto De La Zorra","Manantial Juárez","Presencia","Presencia","0.017","ND","ND","0.761","0.025","0.075","0.0",0.045,"0.003","0.11","76.25","288.8866","0.3","2.0","0.0117","8.26","242.0","100.0","0.04","474.0","22.4"
2012,"La Misión",NA,NA,"Barrio Santa Maria","Manantial El Centro","Presencia","Presencia","0.0","ND","ND","0.469","0.011","0.025","0.001",0.08,"0.005","0.0","88.75","166.665","0.2","1.5","0.0146","7.87","239.0","37.5","0.0","465.0","23.0"
