"Año","NOM_MUN","CVEGEO_LOC","NOMGEO_LOC","Localidad","Fuente de Abastecimiento","Coliformes Totales 
Ausencia o Presencia/100mL","E. Coli
Ausencia o Presencia/100mL","Arsenico
mg/L","Bario
mg/L","Cadmio 
mg/L","Cobre
mg/L","Hierro 
mg/L","Manganeso
mg/L","Plomo
mg/L","Zinc
mg/L","Cianuros 
mg/L","Cloro residual 
mg/L","Cloruros 
mg/L","Dureza Total
mg/L","Fluoruros 
mg/L","Nitratos
mg/L","Nitritos 
mg/L","pH","SDT
mg/L","Sulfatos 
mg/L","Cloro Total 
mg/L","Conductividad 
µS/cm","Temperatura 
°C"
2012,"Acatlán","130010027","28 de Mayo (Santa Rosa) [Colonia]","Colonia 28 De Mayo","Pozo C. 28 de Mayo","Ausencia","Ausencia","0.0","0.1","ND","0.459","0.0","0.5","0.0",0.025,"0.005","0.0","65.25","144.443","0.46","2.2","0.0033","7.48","364.58","15.0","0.0","320.0","21.9"
2012,"Acatlán","130010030","Las Palmas","Las Palmas","Pozo Las Palmas","Ausencia","Ausencia","0.007","0.0","ND","0.615","0.001","0.1","0.009",0.192,"0.0","0.0","66.5","155.554","0.45","1.3","0.0034","7.64","378.8","10.0","0.0","434.0","22.4"
2012,"Acaxochitlán","130020001","Acaxochitlán","Acaxochitlan","Pozo Capulines","Presencia","Presencia","0.0","ND","ND","0.622","0.054","ND","0.0",0.026,"0.004","0.03","44.75","108.8878","0.0","0.5","0.0035","7.47","57.4","0.0","0.01","113.8","19.2"
2012,"Acaxochitlán","130020018","Tlaltegco (Venta Quemada)","Barrio Tlaltegco","Manantial Chivería","Presencia","Presencia","0.0","ND","ND","0.805","0.044","ND","0.0",0.018,"0.011","0.03","44.75","111.11","0.0","0.8","0.0037","7.52","54.6","5.0","0.05","101.5","21.3"
2012,"Actopan","130030003","Bothi Baji","Bothi Baji","Pozo Bothi Baji","Presencia","Ausencia","0.01","0.0","ND","0.086","0.003","0.5","0.0",0.061,"0.004","0.0","27.5","306.6636","0.08","4.5","0.1189","7.43","0.0","80.0","0.01","1618.0","20.0"
2012,"Agua Blanca de Iturbide","130040001","Agua Blanca de Iturbide","Agua Blanca De Iturbide","Manantial Ojo de Agua","Presencia","Presencia","0.0","ND","ND","0.698","0.006","0.0","0.0",0.023,"0.005","0.02","45.0","77.777","0.0","0.0","0.0064","7.99","15.2","0.0","0.02","30.1","16.3"
2012,"Agua Blanca de Iturbide","130040001","Agua Blanca de Iturbide","Agua Blanca De Iturbide","Tanque Las Golondrinas","Presencia","Presencia","0.002","ND","ND","0.106","0.0","0.0","0.0",0.017,"0.007","0.0","47.25","73.3326","0.13","0.0","0.0037","7.37","13.9","0.0","0.0","28.1","16.4"
2012,"Ajacuba","130050005","Santiago Tezontlale","Santiago Tezontlale","Pozo Ajacuba","Presencia","Ausencia","0.0","ND","ND","0.048","0.022","0.6","1.0",0.021,"0.045","0.0","116.75","268.8862","0.3","0.7","0.0089","7.04","491.0","135.0","0.1","985.0","26.9"
2012,"Ajacuba","130050005","Santiago Tezontlale","Santiago Tezontlale","Pozo Santiago","Presencia","Presencia","0.01","ND","ND","0.059","0.004","0.5","0.0",0.031,"0.011","0.03","121.5","313.3302","0.2","1.1","0.0079","6.95","559.0","122.5","0.03","1118.0","27.7"
2012,"Alfajayucan","130060070","Pueblo Nuevo","Pueblo Nuevo","Pozo Pueblo Nuevo","Presencia","Ausencia","0.0","0.45","ND","0.0","0.03","0.0","0.0",0.021,"0.0","0.0","60.5","115.5544","0.9","0.2","0.0","6.51","174.33","5.0","0.0","200.0","23.8"
