"","NOM_MUN_ORIGINAL_MAL","datos_original_mal","datos_localidad_bien","NOM_MUN_LOCALIDAD_BIEN","CVEGEO","dist"
"1","Cuautepec de Hinojosa","13016_San Jeronimo","13061_San Jeronimo","Tepeapulco","130610010",0.0185185185185185
"2","Cardonal","13015_Iglesia Vieja (Iglesia Nueva)","13018_Iglesia Vieja (Iglesia Nueva)","Chapulhuacán","130180018",0.019047619047619
"3","Tepehuacán de Guerrero","13062_Manantiales De Cerro Colorado","13067_Manantiales De Cerro Colorado","Tezontepec de Aldama","130670014",0.019047619047619
"4","Ajacuba","13005_San Francisco Sacachichilco","13006_San Francisco Sacachichilco","Alfajayucan","130060031",0.0202020202020202
"5","Actopan","13003_Agua Blanca De Iturbide","13004_Agua Blanca De Iturbide","Agua Blanca de Iturbide","130040001",0.0229885057471264
"6","Actopan","13003_Agua Blanca De Iturbide","13004_Agua Blanca De Iturbide","Agua Blanca de Iturbide","130040001",0.0229885057471264
"7","Calnali","13014_San Antonio Sabanillas","13015_San Antonio Sabanillas","Cardonal","130150021",0.0238095238095237
"8","San Agustín Metzquititlán","13036_San Bartolo Tutotepec","13053_San Bartolo Tutotepec","San Bartolo Tutotepec","130530001",0.0246913580246915
"9","Calnali","13014_Santa Maria Amealco","13017_Santa Maria Amealco","Chapantongo","130170003",0.0266666666666667
"10","Atlapexco","13011_Santa Maria Amajac","13012_Santa Maria Amajac","Atotonilco el Grande","130120033",0.0277777777777777
"11","San Felipe Orizatlán","13046_Pacheco De Allende","13054_Pacheco De Allende","San Salvador","130540015",0.0277777777777777
"12","Chilcuautla","13019_San Juan Hueyapan","13016_San Juan Hueyapan","Cuautepec de Hinojosa","130160013",0.0289855072463768
"13","Huazalingo","13026_Huejutla De Reyes","13028_Huejutla De Reyes","Huejutla de Reyes","130280001",0.0289855072463768
"14","Metztitlán","13037_Mineral Del Chico","13038_Mineral Del Chico","Mineral del Chico","130380001",0.0289855072463768
"15","Nicolás Flores","13043_Loma Del Progreso","13044_Loma Del Progreso","Nopala de Villagrán","130440016",0.0289855072463768
"16","Nicolás Flores","13043_Omitlan De Juarez","13045_Omitlan De Juarez","Omitlán de Juárez","130450001",0.0289855072463768
"17","Tenango de Doria","13060_La Cuarta Manzana","13064_La Cuarta Manzana","Tepetitlán","130640020",0.0289855072463768
"18","Tenango de Doria","13060_La Cuarta Manzana","13076_La Cuarta Manzana","Tula de Allende","130760073",0.0289855072463768
"19","Agua Blanca de Iturbide","13004_Vicente Guerrero","13001_Vicente Guerrero","Acatlán","130010029",0.0303030303030303
"20","Agua Blanca de Iturbide","13004_Vicente Guerrero","13005_Vicente Guerrero","Ajacuba","130050003",0.0303030303030303
"21","Eloxochitlán","13020_San Miguel Regla","13024_San Miguel Regla","Huasca de Ocampo","130240027",0.0303030303030303
"22","Agua Blanca de Iturbide","13004_Vicente Guerrero","13045_Vicente Guerrero","Omitlán de Juárez","130450012",0.0303030303030303
"23","Tenango de Doria","13060_Amola De Ocampo","13062_Amola De Ocampo","Tepehuacán de Guerrero","130620006",0.0317460317460319
"24","Tepetitlán","13064_Tianguistengo","13068_Tianguistengo","Tianguistengo","130680001",0.0350877192982457
"25","Tepetitlán","13064_Tianguistengo","13068_Tianguistengo","Tianguistengo","130680001",0.0350877192982457
"26","Chilcuautla","13019_Xayahualulco","13016_Xayahualulco","Cuautepec de Hinojosa","130160038",0.0370370370370371
"27","Chapulhuacán","13018_Xayahualulco","13016_Xayahualulco","Cuautepec de Hinojosa","130160038",0.0370370370370371
"28","El Arenal","13009_Eloxochitlan","13020_Eloxochitlan","Eloxochitlán","130200001",0.0370370370370371
"29","Lolotla","13034_Itztazacuala","13037_Itztazacuala","Metztitlán","130370020",0.0370370370370371
"30","San Bartolo Tutotepec","13053_San Salvador","13054_San Salvador","San Salvador","130540001",0.0370370370370371
"31","San Felipe Orizatlán","13046_San Salvador","13054_San Salvador","San Salvador","130540001",0.0370370370370371
"32","Tezontepec de Aldama","13067_Tlahuelilpan","13070_Tlahuelilpan","Tlahuelilpan","130700001",0.0370370370370371
"33","San Bartolo Tutotepec","13053_San Salvador","13073_San Salvador","Tlanchinol","130730036",0.0370370370370371
"34","Tulancingo de Bravo","13077_Xochicoatlan","13079_Xochicoatlan","Xochicoatlán","130790001",0.0370370370370371
"35","Xochiatipan","13078_Xochicoatlan","13079_Xochicoatlan","Xochicoatlán","130790001",0.0370370370370371
"36","Xochiatipan","13078_Santa Teresa","13080_Santa Teresa","Yahualica","130800017",0.0370370370370371
"37","Ajacuba","13005_La Huapilla","13006_La Huapilla","Alfajayucan","130060014",0.0392156862745099
"38","Atlapexco","13011_Agua Limpia","13012_Agua Limpia","Atotonilco el Grande","130120038",0.0392156862745099
"39","Cardonal","13015_Chapantongo","13017_Chapantongo","Chapantongo","130170001",0.0392156862745099
"40","Francisco I. Madero","13023_Los Cerezos","13025_Los Cerezos","Huautla","130250009",0.0392156862745099
"41","Tlahuelilpan","13070_Tlahuiltepa","13071_Tlahuiltepa","Tlahuiltepa","130710001",0.0392156862745099
"42","Huasca de Ocampo","13024_Huazalingo","13026_Huazalingo","Huazalingo","130260001",0.0416666666666667
"43","Huautla","13025_Huazalingo","13026_Huazalingo","Huazalingo","130260001",0.0416666666666667
"44","Molango de Escamilla","13042_Santa Cruz","13028_Santa Cruz","Huejutla de Reyes","130280081",0.0416666666666667
"45","Mineral del Chico","13038_El Durazno","13030_El Durazno","Ixmiquilpan","130300053",0.0416666666666667
"46","Metepec","13035_Carboneras","13038_Carboneras","Mineral del Chico","130380004",0.0416666666666667
"47","Molango de Escamilla","13042_Santa Cruz","13043_Santa Cruz","Nicolás Flores","130430019",0.0416666666666667
"48","Molango de Escamilla","13042_Maravillas","13044_Maravillas","Nopala de Villagrán","130440019",0.0416666666666667
"49","Mineral del Chico","13038_El Paraiso","13048_El Paraiso","Pachuca de Soto","130480252",0.0416666666666667
"50","Pacula","13047_Pisaflores","13049_Pisaflores","Pisaflores","130490001",0.0416666666666667
"51","Omitlán de Juárez","13045_Pisaflores","13049_Pisaflores","Pisaflores","130490001",0.0416666666666667
"52","Metepec","13035_Carboneras","13051_Carboneras","Mineral de la Reforma","130510004",0.0416666666666667
"53","San Salvador","13054_Ventoquipa","13056_Ventoquipa","Santiago Tulantepec de Lugo Guerrero","130560008",0.0416666666666667
"54","Mineral del Chico","13038_El Durazno","13058_El Durazno","Tasquillo","130580032",0.0416666666666667
"55","Santiago de Anaya","13055_Portezuelo","13058_Portezuelo","Tasquillo","130580017",0.0416666666666667
"56","Tenango de Doria","13060_Acatlajapa","13062_Acatlajapa","Tepehuacán de Guerrero","130620116",0.0416666666666667
"57","Tlahuelilpan","13070_Tlanchinol","13073_Tlanchinol","Tlanchinol","130730001",0.0416666666666667
"58","Tlahuiltepa","13071_Tlanchinol","13073_Tlanchinol","Tlanchinol","130730001",0.0416666666666667
"59","Tlahuiltepa","13071_Tulancingo","13077_Tulancingo","Tulancingo de Bravo","130770001",0.0416666666666667
"60","Tlanchinol","13073_Tulancingo","13077_Tulancingo","Tulancingo de Bravo","130770001",0.0416666666666667
"61","Atotonilco el Grande","13012_Pezmatlan","13014_Pezmatlan","Calnali","130140011",0.0444444444444445
"62","Huasca de Ocampo","13024_Tamoyon I","13025_Tamoyon I","Huautla","130250038",0.0444444444444445
"63","Huautla","13025_Huehuetla","13027_Huehuetla","Huehuetla","130270001",0.0444444444444445
"64","Huazalingo","13026_Huehuetla","13027_Huehuetla","Huehuetla","130270001",0.0444444444444445
"65","Huautla","13025_Huehuetla","13028_Huehuetla","Huejutla de Reyes","130280051",0.0444444444444445
"66","Huazalingo","13026_Huehuetla","13028_Huehuetla","Huejutla de Reyes","130280051",0.0444444444444445
"67","San Salvador","13054_Yolotepec","13055_Yolotepec","Santiago de Anaya","130550017",0.0444444444444445
"68","Santiago Tulantepec de Lugo Guerrero","13056_Tasquillo","13058_Tasquillo","Tasquillo","130580001",0.0444444444444445
"69","Tepehuacán de Guerrero","13062_La Ermita","13064_La Ermita","Tepetitlán","130640016",0.0444444444444445
"70","Atotonilco el Grande","13012_Pozuelos","13015_Pozuelos","Cardonal","130150019",0.0476190476190477
"71","Chapantongo","13017_Neblinas","13018_Neblinas","Chapulhuacán","130180021",0.0476190476190477
"72","Huejutla de Reyes","13028_Jaltocan","13032_Jaltocan","Jaltocán","130320001",0.0476190476190477
"73","Cuautepec de Hinojosa","13016_San Pedro Gilo (Gilo)","13020_San Pedro Gilo (Gilo)","Eloxochitlán","130200005",0.0493827160493827
"74","Pisaflores","13049_San Bartolo Tutotepec","13053_San Bartolo Tutotepec","San Bartolo Tutotepec","130530001",0.0493827160493827
"75","Eloxochitlán","13020_La Loma","13003_La Loma","Actopan","130030015",0.0512820512820513
"76","Agua Blanca de Iturbide","13004_Ajacuba","13005_Ajacuba","Ajacuba","130050001",0.0512820512820513
"77","Atlapexco","13011_Calnali","13014_Calnali","Calnali","130140001",0.0512820512820513
"78","Calnali","13014_Texcaco","13014_Tecpaco","Calnali","130140015",0.0512820512820513
"79","Eloxochitlán","13020_La Loma","13024_La Loma","Huasca de Ocampo","130240046",0.0512820512820513
"80","Eloxochitlán","13020_La Loma","13025_La Loma","Huautla","130250069",0.0512820512820513
"81","Eloxochitlán","13020_La Loma","13030_La Loma","Ixmiquilpan","130300114",0.0512820512820513
"82","Juárez Hidalgo","13033_Lolotla","13034_Lolotla","Lolotla","130340001",0.0512820512820513
"83","Lolotla","13034_Metepec","13035_Metepec","Metepec","130350001",0.0512820512820513
"84","Lolotla","13034_Metepec","13035_Metepec","Metepec","130350034",0.0512820512820513
"85","Eloxochitlán","13020_La Loma","13052_La Loma","San Agustín Tlaxiaca","130520070",0.0512820512820513
"86","Tlanchinol","13073_Atlalco","13078_Atlalco","Xochiatipan","130780008",0.0512820512820513
"87","Tulancingo de Bravo","13077_Xochitl","13078_Xochitl","Xochiatipan","130780038",0.0512820512820513
"88","Lolotla","13034_Santiago Tezontlale","13005_Santiago Tezontlale","Ajacuba","130050005",0.0533333333333335
"89","Metepec","13035_Tecruz Copaza","13037_Tecruz Cozapa","Metztitlán","130370075",0.0536062378167642
"90","Omitlán de Juárez","13045_Canoas","13047_Canoas","Pacula","130470006",0.0555555555555557
"91","Nopala de Villagrán","13044_Pacula","13047_Pacula","Pacula","130470001",0.0555555555555557
"92","Huejutla de Reyes","13028_Agua Fria Grande","13031_Agua Fria Grande","Jacala de Ledezma","130310003",0.0606060606060606
"93","Tasquillo","13058_Tenango De Doria","13060_Tenango De Doria","Tenango de Doria","130600001",0.0606060606060606
"94","Tasquillo","13058_Tenango De Doria","13060_Tenango De Doria","Tenango de Doria","130600001",0.0606060606060606
"95","Almoloya","13007_Apan","13008_Apan","Apan","130080001",0.0666666666666668
"96","Almoloya","13007_Apan","13008_Apan","Apan","130080001",0.0666666666666668
"97","Atotonilco de Tula","13013_San Jose Bojay","13023_San Jose Boxay","Francisco I. Madero","130230013",0.0666666666666668
"98","San Agustín Metzquititlán","13036_San Juan Solis","13052_San Juan Solis","San Agustín Tlaxiaca","130520013",0.0666666666666668
"99","Mineral del Chico","13038_Colonia Tenhe","13041_Colonia Tenhe","Mixquiahuala de Juárez","130410010",0.0701754385964912
"100","Metztitlán","13037_Colonia Tenhe","13041_Colonia Tenhe","Mixquiahuala de Juárez","130410010",0.0701754385964912
"101","Santiago Tulantepec de Lugo Guerrero","13056_Plan De Ayala","13049_Plan De Ayala","Pisaflores","130490047",0.0701754385964912
"102","Santiago Tulantepec de Lugo Guerrero","13056_Plan De Ayala","13049_Plan De Ayala","Pisaflores","130490047",0.0701754385964912
"103","San Agustín Metzquititlán","13036_Ixcuinquilapilco","13052_Ixcuinquitlapilco","San Agustín Tlaxiaca","130520009",0.0737812911725956
"104","Pisaflores","13049_Cieneguillas","13012_Cieneguillas","Atotonilco el Grande","130120004",0.0740740740740742
"105","Huehuetla","13027_Minas Viejas","13031_Minas Viejas","Jacala de Ledezma","130310020",0.0740740740740742
"106","Pisaflores","13049_Cieneguillas","13036_Cieneguillas","San Agustín Metzquititlán","130360008",0.0740740740740742
"107","San Agustín Metzquititlán","13036_San Bernardo","13042_San Bernardo","Molango de Escamilla","130420018",0.0740740740740742
"108","Atotonilco el Grande","13012_Los Tapancos","13045_Los Tapancos","Omitlán de Juárez","130450043",0.0740740740740742
"109","Calnali","13014_Barrio Nuevo","13073_Barrio Nuevo","Tlanchinol","130730131",0.0740740740740742
"110","San Agustín Metzquititlán","13036_San Bernardo","13081_San Bernardo","Zacualtipán de Ángeles","130810017",0.0740740740740742
"111","Mineral del Chico","13038_Plan Grande","13004_Plan Grande","Agua Blanca de Iturbide","130040015",0.0784313725490197
"112","Apan","13008_Tecolotitla","13011_Tecolotitla","Atlapexco","130110033",0.0784313725490197
