"","NOM_MUN_ORIGINAL_MAL","datos_original_mal","datos_localidad_bien","NOM_MUN_LOCALIDAD_BIEN","CVEGEO","dist"
"1","San Bartolo Tutotepec","13053_San Salvador","13035_San Salvador","Metepec","1303500200022800",0.0185185185185185
"2","Cuautepec de Hinojosa","13016_San Jeronimo","13061_San Jeronimo","Tepeapulco","1306100100022800",0.0185185185185185
"3","Cardonal","13015_Iglesia Vieja (Iglesia Nueva)","13018_Iglesia Vieja (Iglesia Nueva)","Chapulhuacán","1301800180017800",0.019047619047619
"4","Tepehuacán de Guerrero","13062_Manantiales De Cerro Colorado","13067_Manantiales De Cerro Colorado","Tezontepec de Aldama","1306700140030800",0.019047619047619
"5","Ajacuba","13005_San Francisco Sacachichilco","13006_San Francisco Sacachichilco","Alfajayucan","1300600310020800",0.0202020202020202
"6","Molango de Escamilla","13042_Santa Cruz","13024_Santa Cruz","Huasca de Ocampo","1302400770029800",0.0208333333333334
"7","Calnali","13014_San Antonio Sabanillas","13015_San Antonio Sabanillas","Cardonal","1301500210053800",0.0238095238095237
"8","Calnali","13014_Santa Maria Amealco","13017_Santa Maria Amealco","Chapantongo","1301700030039800",0.0266666666666667
"9","Jacala de Ledezma","13031_Revolucion Mexicana","13032_Revolucion Mexicana","Jaltocán","1303200260016800",0.0266666666666667
"10","Atlapexco","13011_Santa Maria Amajac","13012_Santa Maria Amajac","Atotonilco el Grande","1301200330032800",0.0277777777777777
"11","San Felipe Orizatlán","13046_Pacheco De Allende","13054_Pacheco De Allende","San Salvador","1305400150013800",0.0277777777777777
"12","Chilcuautla","13019_San Juan Hueyapan","13016_San Juan Hueyapan","Cuautepec de Hinojosa","1301600130205800",0.0289855072463768
"13","Nicolás Flores","13043_Loma Del Progreso","13044_Loma Del Progreso","Nopala de Villagrán","1304400160036800",0.0289855072463768
"14","Tenango de Doria","13060_La Cuarta Manzana","13064_La Cuarta Manzana","Tepetitlán","1306400200024800",0.0289855072463768
"15","Tenango de Doria","13060_La Cuarta Manzana","13076_La Cuarta Manzana","Tula de Allende","1307600730010800",0.0289855072463768
"16","Agua Blanca de Iturbide","13004_Vicente Guerrero","13001_Vicente Guerrero","Acatlán","1300100290024800",0.0303030303030303
"17","Agua Blanca de Iturbide","13004_Vicente Guerrero","13005_Vicente Guerrero","Ajacuba","1300500030038800",0.0303030303030303
"18","Eloxochitlán","13020_San Miguel Regla","13024_San Miguel Regla","Huasca de Ocampo","1302400270048800",0.0303030303030303
"19","Agua Blanca de Iturbide","13004_Vicente Guerrero","13045_Vicente Guerrero","Omitlán de Juárez","1304500120014800",0.0303030303030303
"20","Yahualica","13080_Xindho San Pedro","13084_Xindho San Pedro","Zimapán","1308401780065800",0.0303030303030303
"21","Yahualica","13080_Xindho San Pedro","13084_Xindho San Pedro","Zimapán","1308401780065800",0.0303030303030303
"22","Tenango de Doria","13060_Amola De Ocampo","13062_Amola De Ocampo","Tepehuacán de Guerrero","130620006002A800",0.0317460317460319
"23","Chilcuautla","13019_Xayahualulco","13016_Xayahualulco","Cuautepec de Hinojosa","1301600380027800",0.0370370370370371
"24","Chapulhuacán","13018_Xayahualulco","13016_Xayahualulco","Cuautepec de Hinojosa","1301600380027800",0.0370370370370371
"25","Lolotla","13034_Itztazacuala","13037_Itztazacuala","Metztitlán","1303700200050800",0.0370370370370371
"26","Ajacuba","13005_La Huapilla","13006_La Huapilla","Alfajayucan","1300600140016800",0.0392156862745099
"27","Atlapexco","13011_Agua Limpia","13012_Agua Limpia","Atotonilco el Grande","1301200380066800",0.0392156862745099
"28","Francisco I. Madero","13023_Los Cerezos","13025_Los Cerezos","Huautla","1302500090026800",0.0392156862745099
"29","Xochiatipan","13078_Huitznopala","13080_Huitznopala","Yahualica","1308000090028800",0.0392156862745099
"30","Mineral del Chico","13038_El Paraiso","13028_El Paraiso","Huejutla de Reyes","1302802630047800",0.0416666666666667
"31","Mineral del Chico","13038_El Durazno","13030_El Durazno","Ixmiquilpan","1303000530026800",0.0416666666666667
"32","Mineral del Chico","13038_El Durazno","13036_El Durazno","San Agustín Metzquititlán","130360010002A800",0.0416666666666667
"33","Mineral del Chico","13038_El Durazno","13036_El Durazno","San Agustín Metzquititlán","1303600380034800",0.0416666666666667
"34","Metepec","13035_Carboneras","13038_Carboneras","Mineral del Chico","1303800040024800",0.0416666666666667
"35","Molango de Escamilla","13042_Maravillas","13044_Maravillas","Nopala de Villagrán","1304400190036800",0.0416666666666667
"36","Mineral del Chico","13038_El Paraiso","13048_El Paraiso","Pachuca de Soto","1304802520020800",0.0416666666666667
"37","San Salvador","13054_Ventoquipa","13056_Ventoquipa","Santiago Tulantepec de Lugo Guerrero","130560008015A800",0.0416666666666667
"38","Mineral del Chico","13038_El Durazno","13058_El Durazno","Tasquillo","1305800320031800",0.0416666666666667
"39","Santiago de Anaya","13055_Portezuelo","13058_Portezuelo","Tasquillo","1305800170031800",0.0416666666666667
"40","Santiago Tulantepec de Lugo Guerrero","13056_La Viejita","13060_La Viejita","Tenango de Doria","1306000410025800",0.0416666666666667
"41","Tenango de Doria","13060_Acatlajapa","13062_Acatlajapa","Tepehuacán de Guerrero","130620116002A800",0.0416666666666667
"42","Atotonilco el Grande","13012_Pezmatlan","13014_Pezmatlan","Calnali","1301400110037800",0.0444444444444445
"43","Huasca de Ocampo","13024_Tamoyon I","13025_Tamoyon I","Huautla","130250038005A800",0.0444444444444445
"44","Huautla","13025_Huehuetla","13028_Huehuetla","Huejutla de Reyes","1302800510047800",0.0444444444444445
"45","Huazalingo","13026_Huehuetla","13028_Huehuetla","Huejutla de Reyes","1302800510047800",0.0444444444444445
"46","La Misión","13040_Tetlapaya","13034_Tetlapaya","Lolotla","1303400290025800",0.0444444444444445
"47","Tepehuacán de Guerrero","13062_La Ermita","13061_La Ermita","Tepeapulco","1306100990037800",0.0444444444444445
"48","Tepehuacán de Guerrero","13062_La Ermita","13064_La Ermita","Tepetitlán","1306400160024800",0.0444444444444445
"49","Atotonilco el Grande","13012_Pozuelos","13015_Pozuelos","Cardonal","1301500190072800",0.0476190476190477
"50","Chapantongo","13017_Neblinas","13018_Neblinas","Chapulhuacán","1301800210021800",0.0476190476190477
"51","Molango de Escamilla","13042_El Dothu","13043_El Dothu","Nicolás Flores","1304300090043800",0.0476190476190477
"52","Cuautepec de Hinojosa","13016_San Pedro Gilo (Gilo)","13020_San Pedro Gilo (Gilo)","Eloxochitlán","130200005002A800",0.0493827160493827
"53","Eloxochitlán","13020_La Loma","13003_La Loma","Actopan","1300300150090800",0.0512820512820513
"54","Eloxochitlán","13020_La Loma","13007_La Loma","Almoloya","1300700720013800",0.0512820512820513
"55","Eloxochitlán","13020_La Loma","13008_La Loma","Apan","1300800460044800",0.0512820512820513
