"CVEGEO","NOMGEO","Localidad","Id"
"130010032","Barrio el Yolo","Barrio El Yolo","13001_Barrio El Yolo"
"130010048","La Chamusquina","La Chamusquina","13001_La Chamusquina"
"130010026","La Unión","La Union","13001_La Union"
"130010024","Totoapita Canutillo","Totoapita Canutillo","13001_Totoapita Canutillo"
"130010029","Vicente Guerrero","Vicente Guerrero","13001_Vicente Guerrero"
"130010018","La Peñuela","La Penuela","13001_La Penuela"
"130010030","Las Palmas","Las Palmas","13001_Las Palmas"
"130010016","El Milagro San Simón","El Milagro San Simon","13001_El Milagro San Simon"
"130010008","Chauténco","Chautenco","13001_Chautenco"
"130010021","San Dionisio","San Dionisio","13001_San Dionisio"
"130010011","Hueyotlipa","Hueyotlipa","13001_Hueyotlipa"
"130010003","Alcholoya (El Salto de Alcholoya)","Alcholoya (El Salto De Alcholoya)","13001_Alcholoya (El Salto De Alcholoya)"
"130010012","El Huizache y la Paloma","El Huizache Y La Paloma","13001_El Huizache Y La Paloma"
"130010013","Loma Larga","Loma Larga","13001_Loma Larga"
"130010028","El Veladero","El Veladero","13001_El Veladero"
"130010019","San Antonio la Palma","San Antonio La Palma","13001_San Antonio La Palma"
"130010038","Loma Chica","Loma Chica","13001_Loma Chica"
"130010055","Echeverría [Colonia]","Echeverria [Colonia]","13001_Echeverria [Colonia]"
"130010064","Ernesto Zedillo [Colonia]","Ernesto Zedillo [Colonia]","13001_Ernesto Zedillo [Colonia]"
"130010007","Buena Vista","Buena Vista","13001_Buena Vista"
"130010023","Totoapa el Grande","Totoapa El Grande","13001_Totoapa El Grande"
"130010005","Los Arcos","Los Arcos","13001_Los Arcos"
"130010036","Lagunicatlán","Lagunicatlan","13001_Lagunicatlan"
"130010001","Acatlán","Acatlan","13001_Acatlan"
"130010041","Los Migueles","Los Migueles","13001_Los Migueles"
"130010065","San Bartolo (La Barranca)","San Bartolo (La Barranca)","13001_San Bartolo (La Barranca)"
"130010020","San Bartolo (El Llano)","San Bartolo (El Llano)","13001_San Bartolo (El Llano)"
"130010031","Metepec Segundo","Metepec Segundo","13001_Metepec Segundo"
"130010017","Mixquiapan","Mixquiapan","13001_Mixquiapan"
"130010068","Los Álamos","Los Alamos","13001_Los Alamos"
"130010043","El Sabino (La Barranca)","El Sabino (La Barranca)","13001_El Sabino (La Barranca)"
"130010010","Encinillos","Encinillos","13001_Encinillos"
"130010051","El Transformador","El Transformador","13001_El Transformador"
"130010027","28 de Mayo (Santa Rosa) [Colonia]","28 De Mayo (Santa Rosa) [Colonia]","13001_28 De Mayo (Santa Rosa) [Colonia]"
"130010025","Totoapita la Herradura","Totoapita La Herradura","13001_Totoapita La Herradura"
"130010015","Metepec Primero","Metepec Primero","13001_Metepec Primero"
"130010066","Agustín Olvera Seccíon II [Colonia]","Agustin Olvera Seccion Ii [Colonia]","13001_Agustin Olvera Seccion Ii [Colonia]"
"130010002","Agustín Olvera Sección I [Colonia]","Agustin Olvera Seccion I [Colonia]","13001_Agustin Olvera Seccion I [Colonia]"
"130010006","Benito Juárez [Colonia]","Benito Juarez [Colonia]","13001_Benito Juarez [Colonia]"
"130010061","El Cerrito","El Cerrito","13001_El Cerrito"
"130010004","Almoloya","Almoloya","13001_Almoloya"
"130020014","Santa Catarina","Santa Catarina","13002_Santa Catarina"
"130020025","Yemila","Yemila","13002_Yemila"
"130020032","Zotictla","Zotictla","13002_Zotictla"
"130020062","Nuevo San Juan","Nuevo San Juan","13002_Nuevo San Juan"
"130020005","La Mesa","La Mesa","13002_La Mesa"
"130020020","Ejido Tlatzintla","Ejido Tlatzintla","13002_Ejido Tlatzintla"
"130020029","Montemar","Montemar","13002_Montemar"
